country,id,un_region_name,global_index_score_2019,index_to_be_defined,inverse_global_index_2019,mjc_criteria_sdr_mild_version,mjc_criteria_sdr_medium_version,mjc_criteria_sdr_heavy_version,mjc_criteria_sdr_ponderated,mjc_criteria_equality,mjc_criteria_capacity,mjc_criteria_historical_responsability,mjc_criteria_present_responsability,mjc_criteria_ponderated,population_2019,gdp_per_capita_ppp_2017,cum_emissions_per_capita_1994_2017,emissions_per_cap_2017,poverty_ratio_320,undernourishment_prevalence,stunting_prevalence_under_5_yrs,wasting_prevalence_in_children_under_5,maternal_mortality_rate_per_100k_births,neonatal_mortality_rate_1k_births,under_5_mortality_rate_1k_births,life_expec_at_birth_yrs,univ_health_coverage_index,net_primary_enrolment_rate,lower_secondary_completion_rate,literacy_rate_15_24_yrs_both_sexes,ratio_female_to_male_labour_force_rate,population_rate_using_basic_drinking_water_services,population_rate_using_basic_sanitation_services,access_to_electricity_pop_rate,access_to_clean_fuels_and_tech_for_cooking_rate,unemployment_rate,population_using_the_internet
Lebanon,LBN,Asia,65.66628291,34.33371709,0.423718619,0.080047341,0.080785186,0.000195015,0.053675847,0.079091898,0.212223459,0.32398462,0.385955795,0.174990353,6065922,13191.14086,4.573574396,3.775188669,0.06,10.9,16.5,6.6,15,4.5,7.8,76.3,81.164,86.30347,52.40729,99.24335,32.72377092,92.25819239,95.35936538,100,,6.690999985,78.18077489
Brunei Darussalam,BRN,Asia,65.73773448,34.26226552,0.422170125,0.017808923,0.01794474,0.053770837,0.0298415,0.017633052,0.426101438,0.723326642,0.586447672,0.282115787,439336,71809.25058,34.2508259,40.06045487,,2.6,19.7,2.9,23,4.7,10.5,76.4,76.519,93.79535,102.33254,99.36677,79.20396829,99.513212,96.33040522,100,100,7.105000019,94.86669164
"Korea, Dem. Rep.",PRK,Asia,65.73773448,34.26226552,0.422170125,0.338798421,0.341382214,,0.340090317,0.335452636,,0.369148947,0.488738889,0.368146761,25727408,,4.014010541,2.98125641,,43.4,27.9,4,82,10,19,71.9,64.674,94.06663,,99.99964,85.56309328,99.6245586,77.13465119,39.24422455,10.8,4.745999813,0
Timor-Leste,TLS,Asia,65.73773448,34.26226552,0.422170125,0.005785516,0.005829639,,0.005807578,0.005728382,0.038984804,0.043262249,0.036371428,0.0225844,1352360,6569.960332,2.048545812,2.484545535,74.36,27.2,50.2,11,215,20.7,47.6,68.6,54.525,78.69488,80.23331,79.52868,47.35479224,70.22330007,44.01105596,63.39413834,6.92,3.480999947,27.49273173
Sri Lanka,LKA,Asia,65.84124908,34.15875092,0.419926763,0.275956346,0.277421459,0.099387957,0.217588587,0.274059153,0.239449257,1.207212586,0.793410712,0.432852162,21018859,11691.28517,1.227429021,1.836446022,8.87,10.9,17.3,15.1,30,5.8,8.8,75.3,77.061,99.11166,96.4709,98.85646,47.25881564,92.31186429,94.20667369,95.58823395,26.33,4.138000011,34.1133479
Libya,LBY,Africa,65.88351483,34.11648517,0.419010783,0.086148938,0.086524468,,0.086336703,0.08566266,0.156556669,0.100446636,0.116173051,0.109216469,6569864,17881.50933,14.75179077,12.54211655,,,21,6.5,9,6.5,12.4,71.9,70.618,,,99.6,32.63380248,96.75,99.7,98.53672791,,15.68400002,21.75892062
"Egypt, Arab Rep.",EGY,Africa,66.20609094,33.79390906,0.412019934,1.314056566,1.310152805,0.506882649,1.04369734,1.319111594,0.265319879,0.482547636,0.475511359,0.776789578,101168745,10551.29965,3.070718103,3.064187462,9.5,4.8,22.3,9.5,33,11.6,22.1,70.5,65.161,97.01772,80.96209,88.19256,30.23589842,98.35749916,93.16947984,100,97.62,11.82800007,44.95020425
Qatar,QAT,Asia,66.27910892,33.72089108,0.410437494,0.035562866,0.035397519,,0.035480192,0.035776975,0.023941007,0.018127816,0.019407851,0.028491502,2743901,116931.9863,81.74000307,75.07559493,,1.17,2.58,0.7,13,3.8,7.6,78.1,83.649,94.40015,83.3705,95.46365,61.10330305,100,100,100,98.49,0.120999999,95.94
Panama,PAN,LAC,66.30655957,33.69344043,0.409842585,0.054729863,0.05444076,0.012089074,0.040419899,0.055104227,0.125604571,0.422552682,0.39473112,0.157442649,4226197,22287.95908,3.506705374,3.691261908,5.44,9.2,19.1,1.2,94,8.9,16.1,78,73.844,87.20925,74.16361,97.63853,65.04728535,95.00022473,76.86704038,93.4178009,89.01,4.596000195,57.86509007
El Salvador,SLV,LAC,66.7328777,33.2671223,0.400603446,0.082412808,0.081156302,0.026268431,0.063279181,0.084039873,0.3838856,0.796319846,0.733696537,0.324053211,6445405,7292.457809,1.860769602,1.985910893,7.85,10.3,13.6,2.1,54,7.1,14.5,73.7,70.139,80.56424,78.20048,97.98045,59.78732485,93.01307096,91.12507367,98.61889648,86,4.546000004,31.25135241
Suriname,SUR,LAC,67.0335394,32.9664606,0.394087525,0.007261405,0.007098541,0.009048723,0.007802889,0.007472299,0.202744619,0.248665718,0.241334366,0.115754962,573085,13807.86113,5.958874324,6.0374988,30.69,7.6,8.8,5,155,10.2,19.6,71.8,62.508,90.19028,47.68701,97.6679,64.34812237,94.68094181,79.21919843,87.17631531,89.61,8.052000046,48.94517397
Antigua and Barbuda,ATG,LAC,67.08306453,32.91693547,0.39301422,0.002283049,0.002229113,0.000951113,0.001821092,0.00235289,0.220216143,0.389225326,0.34235882,0.14754555,104084,21380.1574,6.889967872,6.811805849,,1.17,2.58,0.7,,3.8,7.4,75,71.552,79.63518,82.75261,,,96.73918628,87.50428238,97.35466766,98.75,,76
"Bahamas, The",BHS,LAC,67.08306453,32.91693547,0.39301422,0.003631163,0.003545379,0.000927398,0.002701313,0.003742245,0.16595061,0.281565423,0.275124755,0.112684814,403095,27717.8473,7.737610823,8.31069599,3.75,1.17,2.58,0.7,80,4,7.2,75.7,69.541,88.19669,96.67644,,85.54542431,97.79174973,92.01119677,100,100,12.32600021,85
Barbados,BRB,LAC,67.08306453,32.91693547,0.39301422,0.005099834,0.004979354,0.000776528,0.003618572,0.005255845,0.100998808,0.191501976,0.175322975,0.073321425,287010,16869.29344,5.262605569,5.295982718,6.29,3.7,7.7,6.8,27,8.1,12.4,75.6,74.626,89.17957,100.75071,99.9,88.9890518,98.13116783,96.45610169,100,99.44,9.527999878,81.76077839
Dominica,DMA,LAC,67.08306453,32.91693547,0.39301422,0.00139786,0.001364837,,0.001381349,0.001440623,0.261695014,0.546544146,0.479128563,0.194338335,74679,9123.402264,2.764291114,3.053067127,,5.2,,,,27.3,34,,64.027,95.63788,96.8383,,,96.5,77.8927615,100,90.6,,69.61966879
Grenada,GRD,LAC,67.08306453,32.91693547,0.39301422,0.001376821,0.001344294,,0.001360557,0.001418939,0.203217493,0.542849154,0.469124595,0.177995966,108825,13775.7311,2.729612364,3.105903974,,,,,27,10.9,16.7,73.4,67.69,95.16711,89.87486,99.2,,95.62865044,78.30225647,92.34436798,96.58,,59.07173536
St. Kitts and Nevis,KNA,LAC,67.08306453,32.91693547,0.39301422,0.001316839,0.001285729,,0.001301284,0.001357123,0.130937742,0.215061636,0.213901567,0.087019438,56345,26028.69169,4.995337152,4.933889431,,1.17,2.58,0.7,,8.8,13.7,,,,,,,98.96760204,91.60912585,100,100,,80.71019081
St. Lucia,LCA,LAC,67.08306453,32.91693547,0.39301422,0.000944816,0.000922495,,0.000933656,0.000973719,0.30684491,0.53603897,0.477243337,0.20384836,180454,12712.37206,3.806966458,4.25593226,10.26,,2.5,3.7,48,12.4,16.6,75.6,68.604,93.4385,90.47275,,80.85487273,98.16245367,90.90809761,97.76091766,97.23,20.4260006,50.81524478
St. Vincent and the Grenadines,VCT,LAC,67.08306453,32.91693547,0.39301422,0.00071286,0.000696019,,0.000704439,0.000734667,0.107553218,0.296630181,0.295315889,0.10124134,110488,10697.45083,2.711158418,3.041054232,,5.7,,,45,9.6,16.2,72,64.249,93.44302,102.11841,,73.29806541,95.1452199,87.1843449,100,95.98,18.25300026,65.56
Montenegro,MNE,Europe,67.25013397,32.74986603,0.389393502,0.007921993,7.70E-03,3.22E-05,0.005218946,0.008205988,0.170029175,0.185215235,0.198486027,0.093826185,629355,16464.64231,8.000247732,7.340848964,0.1,2.5,9.4,2.8,7,2.3,3.5,76.8,80.717,95.83619,99.40302,99.21182,76.71473667,97.6275668,95.90868712,100,69.35,16.11599922,71.27233254
Paraguay,PRY,LAC,67.51844679,32.48155321,0.383578644,0.087165519,0.084176418,0.016068315,0.062470084,0.091036141,0.234941819,0.219839058,0.182641597,0.147422093,6981981,11915.58638,6.740238852,7.977678541,4.54,11.2,5.6,1,132,11.1,21,74.2,69.617,88.54608,64.13452,98.4506,67.88092172,98.88534157,91.22222482,98.4,66.22,4.607999802,61.07575622
Trinidad and Tobago,TTO,LAC,67.55632494,32.44367506,0.382757751,0.017151492,0.016547178,0.000961061,0.011553244,0.017934025,0.097328605,0.031205204,0.022267749,0.038388087,1375443,28763.07077,47.48463698,65.43346398,1.38,4.9,11,6.3,63,16.6,26.1,71.8,67.394,95.23794,80.89414,99.6,69.61660074,96.94055907,92.14651868,100,99.26,5.074999809,77.32605293
Bhutan,BTN,Asia,67.57532537,32.42467463,0.382345975,0.010296872,0.009929201,0.005033865,0.00841998,0.010772974,0.327947632,0.559201021,0.491372195,0.218106798,826229,8536.331027,2.64979445,2.965279602,12.04,,33.6,5.9,148,16.9,30.8,70.6,64.057,79.86966,80.03687,87.31836,78.66568054,97.55866085,62.87050065,100,52.5,2.428999901,48.10641588
Oman,OMN,Asia,67.8552852,32.1447148,0.376278704,0.06179761,0.059156141,,0.060476875,0.06521808,0.073746503,0.068933571,0.075367236,0.067897965,5001875,37960.70919,21.49558963,19.33275022,,5.4,14.1,7.5,17,5.1,11.3,77,79.312,94.12076,99.674,98.66244,34.26561359,90.943688,99.31807583,100,95.22,3.229000092,80.18563573
Nicaragua,NIC,LAC,67.94340864,32.05659136,0.374368898,0.078252723,0.074732579,0.042481576,0.065155626,0.082810999,0.526073336,0.577430355,0.502934297,0.303555572,6351157,5321.443516,2.566141091,2.897109928,13.37,16.2,17.3,2.2,150,7.1,17.2,75.5,71.189,96.95224,67.05253,87.00925,60.2652908,82.25617046,76.34918523,81.79679871,52.3,4.454999924,27.86304001
Jordan,JOR,Asia,68.08526389,31.91473611,0.37129462,0.123521089,0.117515892,0.065602232,0.102213071,0.13129729,0.335768877,0.390894045,0.525887212,0.256917466,10069794,8337.489679,3.790714596,2.770662439,13.08,13.5,7.8,2.4,58,10.1,17,74.3,77.308,92.35216,60.76455,99.10572,22.07906643,98.56668018,96.70805802,100,99.06,14.66899967,66.79031443
Bolivia,BOL,LAC,68.39317353,31.60682647,0.364621623,0.138244263,0.13041776,0.065507003,0.111389675,0.148378895,0.406555219,0.229786813,0.180229284,0.217832959,11379861,6885.828577,6.44844561,8.084457271,11.67,19.8,16.1,2,206,18.5,34.9,71.5,61.039,91.88525,84.05027,99.39917,69.20476532,92.88162636,52.61402673,93.03913116,64,3.187000036,43.83227607
Turkey,TUR,Asia,68.48880698,31.51119302,0.362549061,1.004783062,0.945371132,0.021623099,0.657259098,1.081716284,0.111379053,0.277850205,0.226367025,0.525615762,82961805,25134.61442,5.332973436,6.436696984,0.53,2.5,9.5,1.7,16,5.9,11.6,76.4,77.753,94.345,95.10945,99.62136,44.93683679,98.89935342,96.37269351,100,,11.14000034,64.68461768
Mexico,MEX,LAC,68.50928203,31.49071797,0.362105327,1.601635525,1.50606646,0.760235181,1.289312389,1.725389054,0.161532101,0.255275305,0.259850876,0.858449158,132328035,17330.73198,5.804587183,5.6072774,11.69,3.8,12.4,1,38,7.6,13.4,76.6,70.477,95.25063,91.62148,99.1162,56.13367981,98.31047115,89.21839255,100,85.35,3.371000051,63.85224909
Kazakhstan,KAZ,Asia,68.7093321,31.2906679,0.357769855,0.223610848,0.209078739,0.001180337,0.144623308,0.24242865,0.116263227,0.091159772,0.076312669,0.146762852,18592970,24078.7187,16.25462333,19.09323793,0.13,2.5,8,3.1,12,5.3,10,71.1,73.082,87.58619,109.74225,99.89736,84.48943715,91.14559003,97.80530797,100,95.34,5.073999882,76.42674823
Bahrain,BHR,Asia,68.71941398,31.28058602,0.357551361,0.019692029,0.018406962,,0.019049496,0.021356078,0.064666759,0.050006086,0.070816205,0.041370869,1637896,43290.70452,29.63174823,20.57517693,,1.17,2.58,0.7,15,3.1,7.3,79.1,81.5,97.4126,97.27845,94.14007,50.79098774,100,100,100,100,1.187999964,95.87813575
Armenia,ARM,Asia,68.77318369,31.22681631,0.356386067,0.035246618,0.032895656,0.01205034,0.026730871,0.038290906,0.318571161,0.479353274,0.382048655,0.203573476,2936706,8787.57994,3.091181061,3.813796819,8.42,4.3,9.4,4.2,25,6.7,12.6,74.8,75.851,92.02934,89.17086,99.8474,72.93733401,98.92365243,91.58276665,100,96.9,18.27599907,69.71812489
Jamaica,JAM,LAC,68.79748023,31.20251977,0.355859514,0.034855009,0.032507398,0.0193607,0.028907703,0.037894959,0.339738017,0.349780846,0.419277081,0.197767411,2906339,8240.083254,4.236274739,3.475162395,13.68,8.9,6.2,3.6,89,10.8,15.2,76,70.647,91.53881,85.58921,96.3,74.21226091,92.91854636,85.37371383,98.20426941,90.5,12.29399967,48.78096953
Georgia,GEO,Asia,68.91341134,31.08658866,0.353347063,0.046648194,0.043360207,0.027047853,0.039018751,0.050905848,0.287688962,0.436620983,0.321392297,0.18915505,3904204,9730.889635,3.393716335,4.533574578,14.28,7.4,11.3,1.6,36,6.7,10.8,72.6,71.176,97.93477,107.43545,99.70261,73.43639461,93.26352694,84.87671725,100,77.79,11.63700008,60.49125755
